Fbb,Cbb,Gbb,Dbb,Abb,Ebb,Bbb,Fb,Cb,Gb,Db,Ab,Eb,Bb,F,C,G,D,A,E,B,F#,C#,G#,D#,A#,E#,B#,F##,C##,G##,D##,A##,E##,B##,composer,periode,title_file,work_group,opus,no,mov,title,date,instruments
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,53.0,77.0,79.0,55.0,82.0,99.0,75.0,80.0,130.0,197.0,285.0,324.0,298.0,437.0,318.0,236.0,168.0,144.0,81.0,85.0,21.0,6.0,6.0,0.0,0.0,0.0,Fauré,2,Nocturne n°7,,74.0,,,Nocturne n°7,1897,piano
0.0,0.0,0.0,0.0,0.0,29.0,26.0,12.0,66.0,114.0,190.0,266.0,125.0,134.0,230.0,177.0,159.0,154.0,229.0,381.0,198.0,195.0,239.0,248.0,149.0,41.0,51.0,64.0,19.0,9.0,1.0,0.0,0.0,0.0,0.0,Fauré,2,nocturne-no6gfaure-op63,,63.0,,,Nocturne n°6,1894,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,5.0,34.0,38.0,59.0,76.0,148.0,304.0,245.0,181.0,174.0,245.0,202.0,81.0,16.0,24.0,38.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Papillon_77,,77.0,,,Papillon,1884,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0,51.0,45.0,101.0,218.0,191.0,220.0,195.0,236.0,149.0,94.0,72.0,15.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Pelleas_et_melisande_80_prelude,Pélléas et mélisande suite,80.0,,1.0,Prélude,1898,orchestral
0.0,0.0,0.0,0.0,0.0,2.0,8.0,25.0,22.0,68.0,155.0,147.0,118.0,94.0,114.0,100.0,48.0,30.0,51.0,50.0,45.0,28.0,35.0,14.0,13.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,pieces-breves-8-nocturne-gabriel-faure,8 pièces brèves,84.0,8.0,,Nocturne n°8,1902,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,85.0,145.0,91.0,131.0,150.0,166.0,89.0,34.0,10.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Pieces_breves_fugue_84_6,8 pièces brèves,84.0,6.0,,Fugue,1869,piano
0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,71.0,107.0,239.0,388.0,671.0,909.0,1648.0,1477.0,2209.0,2744.0,2740.0,1851.0,1902.0,1679.0,1125.0,589.0,269.0,207.0,167.0,48.0,13.0,12.0,4.0,1.0,0.0,0.0,0.0,Fauré,2,quintette_1_89,Quintette pour piano et cordes n°1,89.0,,,Quintette pour piano et cordes n°1,1905,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,30.0,36.0,105.0,166.0,142.0,112.0,175.0,232.0,94.0,81.0,53.0,59.0,19.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,Fauré,2,Romance_violoncelle_69,,69.0,,,Romance,1894,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,26.0,40.0,66.0,123.0,35.0,46.0,82.0,29.0,20.0,11.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Shylock_Madrigal_57,Shylock suite,57.0,,3.0,Madrigal,1889,orchestral
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,1.0,62.0,148.0,61.0,105.0,127.0,128.0,133.0,60.0,0.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,spleen_51_3,4 mélodies,51.0,3.0,,Spleen,1888,vocal
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,5.0,12.0,10.0,2.0,38.0,62.0,80.0,86.0,101.0,186.0,197.0,99.0,86.0,84.0,82.0,13.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,tantum_ergo_65_2,2 motets,65.0,2.0,,Tantum ergo,1894,vocal
0.0,0.0,0.0,0.0,3.0,5.0,41.0,95.0,127.0,332.0,471.0,565.0,312.0,361.0,382.0,282.0,166.0,148.0,98.0,80.0,80.0,39.0,23.0,26.0,10.0,9.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Valse_caprice_3_59,,59.0,,,Valse-Caprice n°3,1893,piano
0.0,0.0,0.0,0.0,0.0,6.0,3.0,8.0,32.0,42.0,54.0,90.0,169.0,173.0,201.0,228.0,303.0,341.0,199.0,154.0,134.0,115.0,77.0,65.0,22.0,19.0,9.0,6.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,Fauré,3,Barcarolle 11,,105.0,,,Barcarolle n°11,1915,piano
0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,26.0,9.0,24.0,70.0,56.0,74.0,136.0,176.0,292.0,141.0,172.0,213.0,183.0,90.0,30.0,40.0,44.0,24.0,10.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,Barcarolle 13,,116.0,,,Barcarolle n°13,1921,piano
0.0,0.0,0.0,0.0,9.0,5.0,31.0,30.0,38.0,93.0,142.0,200.0,107.0,71.0,163.0,120.0,114.0,71.0,101.0,107.0,125.0,75.0,83.0,82.0,27.0,36.0,11.0,10.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,Fauré,3,Barcarolle 8,,96.0,,,Barcarolle n°8,1906,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,8.0,10.0,29.0,145.0,280.0,166.0,221.0,351.0,375.0,193.0,66.0,24.0,46.0,40.0,4.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,barcarolle-9e-op-101-gabriel-faure,,101.0,,,Barcarolle n°9,1909,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.0,14.0,34.0,38.0,68.0,130.0,148.0,122.0,170.0,235.0,210.0,118.0,44.0,32.0,31.0,27.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,barcarolle-op-104-no-2-gabriel-faure,2 pièces,104.0,2.0,,Barcarolle n°10,1913,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,49.0,33.0,67.0,139.0,131.0,59.0,47.0,87.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,C'est la Paix,,114.0,,,C'est la paix,1919,vocal
0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,33.0,40.0,66.0,159.0,276.0,389.0,318.0,386.0,517.0,504.0,291.0,205.0,221.0,195.0,75.0,32.0,60.0,19.0,16.0,2.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,Fauré,3,Cello_sonata_2_117_mvt_1,Sonate pour violoncelle et piano n°2,117.0,,1.0,Sonate pour violoncelle et piano n°2,1921,chamber
0.0,0.0,0.0,0.0,0.0,9.0,3.0,36.0,67.0,93.0,223.0,468.0,609.0,672.0,878.0,1116.0,1191.0,760.0,415.0,553.0,377.0,188.0,155.0,96.0,99.0,34.0,16.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,Fauré,3,faure-piano-quintet-no2-movement-i,Quintette pour piano et cordes n°2,115.0,,1.0,Quintette pour piano et cordes n°2,1921,chamber
0.0,0.0,0.0,0.0,0.0,9.0,20.0,45.0,126.0,125.0,209.0,310.0,544.0,487.0,512.0,360.0,526.0,425.0,364.0,196.0,211.0,193.0,170.0,93.0,67.0,35.0,19.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,Fauré,3,faure-piano-quintet-no2-movement-ii,Quintette pour piano et cordes n°2,115.0,,2.0,Quintette pour piano et cordes n°2,1921,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,32.0,22.0,56.0,104.0,131.0,157.0,329.0,499.0,541.0,344.0,339.0,447.0,325.0,181.0,105.0,82.0,78.0,60.0,21.0,19.0,7.0,2.0,0.0,0.0,0.0,0.0,Fauré,3,faure-piano-quintet-no2-movement-iii,Quintette pour piano et cordes n°2,115.0,,3.0,Quintette pour piano et cordes n°2,1921,chamber
0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,35.0,99.0,221.0,368.0,396.0,493.0,542.0,752.0,646.0,514.0,335.0,390.0,287.0,147.0,86.0,71.0,34.0,7.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,faure-piano-quintet-no2-movement-iv,Quintette pour piano et cordes n°2,115.0,,4.0,Quintette pour piano et cordes n°2,1921,chamber
0.0,0.0,0.0,0.0,0.0,4.0,3.0,21.0,20.0,59.0,31.0,47.0,85.0,146.0,71.0,76.0,118.0,120.0,66.0,48.0,15.0,34.0,25.0,18.0,2.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,faure-prelude-in-g-minor-op103-no3,9 préludes,103.0,3.0,,Prélude,1910,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,39.0,124.0,188.0,232.0,92.0,149.0,135.0,51.0,11.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,horizon_chimerique_1_118,L'horizon chimérique,118.0,1.0,,La mer est infinie,1921,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,12.0,20.0,39.0,67.0,110.0,25.0,57.0,80.0,23.0,20.0,8.0,10.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,Horizon_chimérique_3_118_Diane_Semele,L'horizon chimérique,118.0,3.0,,Diane Séléné,1921,vocal
0.0,0.0,0.0,1.0,1.0,3.0,1.0,8.0,3.0,16.0,14.0,32.0,19.0,64.0,62.0,98.0,82.0,184.0,159.0,158.0,151.0,186.0,152.0,107.0,56.0,44.0,48.0,37.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,Impromptu n°5,,102.0,,,Impromptu n°5,1909,piano
0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,4.0,17.0,26.0,38.0,30.0,73.0,103.0,155.0,100.0,96.0,140.0,190.0,257.0,121.0,93.0,167.0,53.0,31.0,5.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,La chanson d'êve. Paradis.,La chanson d'Eve,95.0,1.0,,Paradis,1906,vocal
0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,9.0,4.0,58.0,56.0,38.0,78.0,115.0,70.0,71.0,44.0,51.0,44.0,25.0,10.0,30.0,15.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Fauré,3,La_chanson_d_eve_95_4_Comme_Dieu_rayonne,La chanson d'Eve,95.0,4.0,,Comme dieu rayonne,1909,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,21.0,29.0,29.0,75.0,81.0,107.0,160.0,232.0,100.0,102.0,140.0,104.0,43.0,23.0,17.0,20.0,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,Fauré,3,Masques_et_bergamasques_pastorale_112,Masques et Bergamasques suite,112.0,,4.0,Pastorale,1919,orchestral
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,14.0,62.0,64.0,142.0,153.0,192.0,176.0,70.0,137.0,77.0,36.0,18.0,9.0,16.0,11.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,"Mirages, n°1, Cygne sur l'eau ",Mirages,113.0,1.0,,Cygne sur l'eau,1919,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,12.0,12.0,27.0,63.0,78.0,70.0,129.0,172.0,115.0,138.0,150.0,180.0,70.0,36.0,59.0,69.0,30.0,7.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,Fauré,3,Nocturne 9,,97.0,,,Nocturne n°9,1908,piano
0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,6.0,16.0,2.0,17.0,28.0,66.0,69.0,65.0,69.0,168.0,87.0,121.0,158.0,177.0,91.0,15.0,10.0,49.0,13.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,Fauré,3,nocturne-op-104-no-1-gabriel-faure,2 pièces,104.0,1.0,,Nocturne n°11,1913,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,16.0,29.0,48.0,34.0,69.0,128.0,171.0,103.0,167.0,189.0,199.0,117.0,66.0,48.0,95.0,38.0,23.0,9.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,Fauré,3,Nocturne_10_99,,99.0,,,Barcarolle n°10,1908,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,15.0,27.0,41.0,59.0,89.0,190.0,252.0,309.0,260.0,310.0,373.0,331.0,175.0,146.0,146.0,90.0,44.0,7.0,40.0,15.0,4.0,0.0,0.0,0.0,0.0,Fauré,3,Nocturne_13_119,,119.0,,,Nocturne n°13,1921,piano
0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,60.0,85.0,74.0,88.0,101.0,109.0,71.0,13.0,11.0,23.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,Prelude_6_103,9 préludes,103.0,6.0,,Prélude,1910,piano
0.0,0.0,0.0,0.0,0.0,10.0,4.0,8.0,24.0,20.0,79.0,128.0,30.0,48.0,68.0,54.0,38.0,60.0,65.0,40.0,95.0,34.0,39.0,42.0,23.0,12.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,Prélude 1,9 préludes,103.0,1.0,,Prélude,1910,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,11.0,59.0,124.0,231.0,174.0,165.0,173.0,256.0,126.0,73.0,14.0,43.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,Serenade_violoncelle_98,,98.0,,,Sérénade,1908,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,31.0,24.0,33.0,68.0,174.0,154.0,149.0,211.0,382.0,470.0,276.0,192.0,341.0,255.0,123.0,58.0,27.0,31.0,14.0,2.0,4.0,0.0,0.0,0.0,0.0,Fauré,3,Sonate pour violon et piano andante,Sonate pour violon et piano n°2,108.0,,2.0,Sonate pour violon et piano n°2,1917,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,15.0,28.0,36.0,94.0,153.0,195.0,165.0,191.0,268.0,267.0,138.0,92.0,100.0,60.0,53.0,8.0,20.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,Fauré,3,String_quartet_121,Quatuor à cordes,121.0,,1.0,Quatuor à cordes,1924,chamber
0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,36.0,60.0,85.0,155.0,191.0,269.0,414.0,449.0,285.0,254.0,423.0,224.0,163.0,84.0,70.0,51.0,24.0,11.0,6.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,Trio Op. 120 - Andantino,Trio avec piano,120.0,,2.0,Trio avec piano,1923,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,65.0,134.0,47.0,71.0,221.0,139.0,70.0,10.0,17.0,49.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,Le jardin clos,Le jardin clos,106.0,1.0,,Exaucement,1914,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,20.0,123.0,350.0,56.0,65.0,81.0,69.0,7.0,6.0,21.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Les Matelots,2 mélodies,2.0,2.0,,Les Matelots,1870,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,85.0,40.0,112.0,389.0,688.0,335.0,103.0,126.0,93.0,30.0,10.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Automne,3 mélodies,18.0,3.0,,Automne,1878,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,40.0,88.0,44.0,111.0,173.0,287.0,178.0,70.0,84.0,142.0,91.0,15.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,La chanson du pêcheur,2 mélodies,4.0,1.0,,Chanson du pêcheur,1872,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,26.0,105.0,50.0,55.0,107.0,179.0,53.0,1.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Tristesse,3 mélodies,6.0,2.0,,Tristesse,1873,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,3.0,51.0,83.0,4.0,120.0,295.0,432.0,236.0,49.0,277.0,78.0,14.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Sérénade Toscane,2 mélodies,3.0,2.0,,Sérénade Toscane,1878,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,34.0,51.0,271.0,347.0,82.0,230.0,289.0,500.0,254.0,39.0,13.0,105.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Au bord de l'eau,3 mélodies,8.0,1.0,,Au bord de l'eau,1875,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,31.0,117.0,106.0,157.0,103.0,84.0,172.0,61.0,8.0,25.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Les berceaux,3 mélodies,23.0,1.0,,Les Berceaux,1879,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,11.0,60.0,100.0,38.0,97.0,142.0,173.0,118.0,19.0,23.0,48.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Puisqu'ici bas tout âme,2 duos,10.0,1.0,,Pusiqu'ici-bas,1873,vocal
